172.64.229.105:443#JP 电信优选[52ms]
172.64.229.120:443#JP 电信优选[66ms]
172.64.229.249:443#JP 电信优选[70ms]
172.64.229.76:443#JP 电信优选[70ms]
172.64.229.212:443#JP 电信优选[72ms]
172.64.229.195:443#JP 电信优选[73ms]
172.64.229.214:443#JP 电信优选[73ms]
172.64.229.161:443#JP 电信优选[73ms]
172.64.229.47:443#JP 电信优选[74ms]
172.64.229.71:443#JP 电信优选[74ms]
172.64.229.254:443#JP 电信优选[74ms]
172.64.229.65:443#JP 电信优选[74ms]
172.64.229.133:443#JP 电信优选[75ms]
172.64.229.61:443#JP 电信优选[76ms]
172.64.229.18:443#JP 电信优选[77ms]
172.64.229.230:443#JP 电信优选[77ms]
172.64.229.86:443#JP 电信优选[77ms]
172.64.229.79:443#JP 电信优选[77ms]
172.64.229.178:443#JP 电信优选[77ms]
172.64.229.237:443#JP 电信优选[78ms]
172.64.229.125:443#JP 电信优选[78ms]
172.64.229.59:443#JP 电信优选[78ms]
172.64.229.200:443#JP 电信优选[78ms]
172.64.229.216:443#JP 电信优选[78ms]
172.64.229.132:443#JP 电信优选[79ms]
172.64.229.242:443#JP 电信优选[79ms]
172.64.229.97:443#JP 电信优选[79ms]
172.64.229.130:443#JP 电信优选[79ms]
172.64.229.151:443#JP 电信优选[79ms]
172.64.229.131:443#JP 电信优选[80ms]
172.64.229.77:443#JP 电信优选[80ms]
172.64.229.91:443#JP 电信优选[80ms]
172.64.229.70:443#JP 电信优选[81ms]
172.64.229.209:443#JP 电信优选[81ms]
172.64.229.35:443#JP 电信优选[81ms]
172.64.229.88:443#JP 电信优选[82ms]
172.64.229.174:443#JP 电信优选[82ms]
172.64.229.14:443#JP 电信优选[83ms]
172.64.229.44:443#JP 电信优选[84ms]
172.64.229.213:443#JP 电信优选[85ms]
172.64.229.244:443#JP 电信优选[86ms]
172.64.229.107:443#JP 电信优选[88ms]
172.64.229.39:443#JP 电信优选[88ms]
172.64.229.82:443#JP 电信优选[89ms]
172.64.229.155:443#JP 电信优选[91ms]
172.64.229.129:443#JP 电信优选[92ms]
172.64.229.64:443#JP 电信优选[92ms]
172.64.229.201:443#JP 电信优选[93ms]
172.64.229.218:443#JP 电信优选[96ms]
172.64.229.162:443#JP 电信优选[97ms]
172.64.229.24:443#JP 电信优选[97ms]
172.64.229.196:443#JP 电信优选[103ms]
172.64.229.165:443#JP 电信优选[103ms]
172.64.229.207:443#JP 电信优选[103ms]
172.64.229.137:443#JP 电信优选[107ms]
172.64.229.60:443#JP 电信优选[107ms]
172.64.229.114:443#JP 电信优选[115ms]
172.64.229.19:443#JP 电信优选[116ms]
172.64.229.188:443#JP 电信优选[120ms]
172.64.229.126:443#JP 电信优选[120ms]
172.64.229.138:443#JP 电信优选[120ms]
172.64.229.170:443#JP 电信优选[121ms]
172.64.229.106:443#JP 电信优选[121ms]
172.64.229.43:443#JP 电信优选[122ms]
172.64.229.208:443#JP 电信优选[122ms]
172.64.229.117:443#JP 电信优选[123ms]
172.64.229.235:443#JP 电信优选[124ms]
172.64.229.48:443#JP 电信优选[124ms]
172.64.229.192:443#JP 电信优选[126ms]
172.64.229.118:443#JP 电信优选[126ms]
172.64.229.30:443#JP 电信优选[127ms]
172.64.229.67:443#JP 电信优选[129ms]
172.64.229.25:443#JP 电信优选[129ms]
172.64.229.122:443#JP 电信优选[129ms]
172.64.229.184:443#JP 电信优选[130ms]
172.64.229.217:443#JP 电信优选[140ms]
172.64.229.46:443#JP 电信优选[141ms]
172.64.229.157:443#JP 电信优选[153ms]
172.64.229.203:443#JP 电信优选[154ms]
172.64.229.28:443#JP 电信优选[158ms]
172.64.229.20:443#JP 电信优选[159ms]
172.64.229.193:443#JP 电信优选[160ms]
172.64.229.17:443#JP 电信优选[161ms]
172.64.229.7:443#JP 电信优选[161ms]
172.64.229.168:443#JP 电信优选[163ms]
172.64.229.11:443#JP 电信优选[164ms]
172.64.229.96:443#JP 电信优选[165ms]
172.64.229.42:443#JP 电信优选[166ms]
172.64.229.255:443#JP 电信优选[167ms]
172.64.229.210:443#JP 电信优选[167ms]
172.64.229.194:443#JP 电信优选[168ms]
172.64.229.63:443#JP 电信优选[169ms]
172.64.229.3:443#JP 电信优选[171ms]
172.64.229.4:443#JP 电信优选[173ms]
172.64.229.140:443#JP 电信优选[174ms]
172.64.229.55:443#JP 电信优选[176ms]
172.64.229.21:443#JP 电信优选[177ms]
172.64.229.16:443#JP 电信优选[177ms]
172.64.229.186:443#JP 电信优选[179ms]
172.64.229.232:443#JP 电信优选[179ms]
172.64.229.1:443#JP 电信优选[180ms]
172.64.229.2:443#JP 电信优选[182ms]
172.64.229.101:443#JP 电信优选[182ms]
172.64.229.51:443#JP 电信优选[184ms]
172.64.229.234:443#JP 电信优选[184ms]
172.64.229.127:443#JP 电信优选[184ms]
172.64.229.236:443#JP 电信优选[184ms]
172.64.229.142:443#JP 电信优选[184ms]
172.64.229.103:443#JP 电信优选[185ms]
172.64.229.187:443#JP 电信优选[185ms]
172.64.229.253:443#JP 电信优选[186ms]
172.64.229.220:443#JP 电信优选[187ms]
172.64.229.152:443#JP 电信优选[188ms]
172.64.229.243:443#JP 电信优选[188ms]
172.64.229.41:443#JP 电信优选[192ms]
172.64.229.204:443#JP 电信优选[193ms]
172.64.229.99:443#JP 电信优选[193ms]
172.64.229.29:443#JP 电信优选[197ms]
172.64.229.57:443#JP 电信优选[205ms]
172.64.229.199:443#JP 电信优选[214ms]
172.64.229.113:443#JP 电信优选[341ms]
172.64.229.251:443#JP 电信优选[347ms]
172.64.229.56:443#JP 电信优选[351ms]
172.64.229.205:443#JP 电信优选[396ms]
172.64.229.62:443#JP 电信优选[400ms]
172.64.229.250:443#JP 电信优选[406ms]
172.64.229.225:443#JP 电信优选[419ms]
172.64.229.222:443#JP 电信优选[432ms]
172.64.229.182:443#JP 电信优选[433ms]
172.64.229.87:443#JP 电信优选[448ms]
172.64.229.211:443#JP 电信优选[468ms]
172.64.229.175:443#JP 电信优选[471ms]
172.64.229.85:443#JP 电信优选[481ms]
172.64.229.128:443#JP 电信优选[485ms]
172.64.229.104:443#JP 电信优选[490ms]
